|   # | Phase                | Topic                         | What You Should Learn                                           | Priority     |
| --: | -------------------- | ----------------------------- | --------------------------------------------------------------- | ------------ |
|   1 | 🟢 Foundations       | Python basics                 | Functions, classes, decorators, type hints, exceptions, modules | 🔴 Must      |
|   2 | 🟢 Foundations       | Async Python                  | `async`, `await`, coroutines, event loop, async vs sync         | 🔴 Must      |
|   3 | 🟢 Foundations       | HTTP basics                   | Request, response, methods, headers, status codes               | 🔴 Must      |
|   4 | 🟢 Foundations       | REST API basics               | Resources, endpoints, CRUD, REST conventions                    | 🔴 Must      |
|   5 | 🟢 Foundations       | JSON                          | JSON objects, arrays, serialization/deserialization             | 🔴 Must      |
|   6 | 🟢 Foundations       | Virtual environments          | `venv`, pip, dependency management                              | 🔴 Must      |
|   7 | 🟢 FastAPI Basics    | What is FastAPI?              | Why FastAPI, ASGI, Starlette, Pydantic                          | 🔴 Must      |
|   8 | 🟢 FastAPI Basics    | Installation                  | FastAPI, Uvicorn, project setup                                 | 🔴 Must      |
|   9 | 🟢 FastAPI Basics    | First application             | `FastAPI()`, application instance, running server               | 🔴 Must      |
|  10 | 🟢 FastAPI Basics    | Path operations               | `GET`, `POST`, `PUT`, `PATCH`, `DELETE`                         | 🔴 Must      |
|  11 | 🟢 FastAPI Basics    | Path parameters               | `/users/{user_id}` and parameter validation                     | 🔴 Must      |
|  12 | 🟢 FastAPI Basics    | Query parameters              | Filtering, pagination, optional/default parameters              | 🔴 Must      |
|  13 | 🟢 FastAPI Basics    | Request body                  | Receiving JSON data                                             | 🔴 Must      |
|  14 | 🟢 FastAPI Basics    | Pydantic models               | `BaseModel`, fields, validation, nested models                  | 🔴 Must      |
|  15 | 🟢 FastAPI Basics    | Response models               | `response_model`, output validation/filtering                   | 🔴 Must      |
|  16 | 🟢 FastAPI Basics    | Status codes                  | `200`, `201`, `204`, `400`, `401`, `403`, `404`, `422`, `500`   | 🔴 Must      |
|  17 | 🟢 FastAPI Basics    | Error handling                | `HTTPException`, custom exceptions                              | 🔴 Must      |
|  18 | 🟢 FastAPI Basics    | Automatic docs                | Swagger UI, ReDoc, OpenAPI                                      | 🔴 Must      |
|  19 | 🟢 FastAPI Basics    | Headers                       | Reading and validating request headers                          | 🟠 Important |
|  20 | 🟢 FastAPI Basics    | Cookies                       | Reading and setting cookies                                     | 🟠 Important |
|  21 | 🟢 FastAPI Basics    | Forms                         | `Form()` and form-encoded requests                              | 🟠 Important |
|  22 | 🟢 FastAPI Basics    | File uploads                  | `File()`, `UploadFile`, multiple files                          | 🟠 Important |
|  23 | 🟡 Pydantic          | Pydantic deeply               | Validation, serialization, configuration                        | 🔴 Must      |
|  24 | 🟡 Pydantic          | Field customization           | `Field()`, constraints, aliases, defaults                       | 🔴 Must      |
|  25 | 🟡 Pydantic          | Validators                    | Field/model validators                                          | 🔴 Must      |
|  26 | 🟡 Pydantic          | Nested models                 | Complex request/response structures                             | 🔴 Must      |
|  27 | 🟡 Pydantic          | Enums                         | Restricting values with `Enum`                                  | 🟠 Important |
|  28 | 🟡 Pydantic          | Custom types                  | Advanced type validation                                        | 🟠 Important |
|  29 | 🟡 Routing           | APIRouter                     | Splitting APIs into modules                                     | 🔴 Must      |
|  30 | 🟡 Routing           | Router prefixes               | `/users`, `/products`, etc.                                     | 🔴 Must      |
|  31 | 🟡 Routing           | Router tags                   | Organizing Swagger documentation                                | 🟠 Important |
|  32 | 🟡 Routing           | Dependencies                  | `Depends()` fundamentals                                        | 🔴 Must      |
|  33 | 🟡 Routing           | Dependency injection          | Reusable authentication/database/config logic                   | 🔴 Must      |
|  34 | 🟡 Routing           | Dependency hierarchy          | Dependencies depending on dependencies                          | 🔴 Must      |
|  35 | 🟡 Routing           | Global dependencies           | Applying dependencies to routers/app                            | 🟠 Important |
|  36 | 🟡 Routing           | Dependency overrides          | Testing with replacement dependencies                           | 🟠 Important |
|  37 | 🟡 Database          | SQL fundamentals              | Tables, keys, relationships, joins, indexes                     | 🔴 Must      |
|  38 | 🟡 Database          | SQLAlchemy                    | ORM fundamentals                                                | 🔴 Must      |
|  39 | 🟡 Database          | FastAPI + SQLAlchemy          | Sessions and CRUD operations                                    | 🔴 Must      |
|  40 | 🟡 Database          | Database models               | Mapping Python classes to tables                                | 🔴 Must      |
|  41 | 🟡 Database          | Relationships                 | One-to-one, one-to-many, many-to-many                           | 🔴 Must      |
|  42 | 🟡 Database          | Transactions                  | Commit, rollback, atomic operations                             | 🔴 Must      |
|  43 | 🟡 Database          | Async database                | Async SQLAlchemy and async sessions                             | 🟠 Important |
|  44 | 🟡 Database          | PostgreSQL                    | Production-grade relational database                            | 🔴 Must      |
|  45 | 🟡 Database          | Alembic                       | Database migrations                                             | 🔴 Must      |
|  46 | 🟠 Architecture      | Project structure             | Organizing a real FastAPI application                           | 🔴 Must      |
|  47 | 🟠 Architecture      | Routers/services/repositories | Separation of responsibilities                                  | 🔴 Must      |
|  48 | 🟠 Architecture      | Configuration                 | Environment-based application settings                          | 🔴 Must      |
|  49 | 🟠 Architecture      | `.env`                        | Environment variables and secrets                               | 🔴 Must      |
|  50 | 🟠 Architecture      | Settings management           | Pydantic Settings                                               | 🔴 Must      |
|  51 | 🟠 Architecture      | Service layer                 | Business logic outside route handlers                           | 🔴 Must      |
|  52 | 🟠 Architecture      | Repository pattern            | Separating database access                                      | 🟠 Important |
|  53 | 🟠 Architecture      | Schemas vs models             | Pydantic schemas vs database models                             | 🔴 Must      |
|  54 | 🟠 Authentication    | Authentication basics         | Authentication vs authorization                                 | 🔴 Must      |
|  55 | 🟠 Authentication    | Password hashing              | Secure password storage                                         | 🔴 Must      |
|  56 | 🟠 Authentication    | OAuth2                        | OAuth2 concepts and FastAPI implementation                      | 🔴 Must      |
|  57 | 🟠 Authentication    | JWT                           | Access tokens, claims, expiration                               | 🔴 Must      |
|  58 | 🟠 Authentication    | Login system                  | Login → token → authenticated request                           | 🔴 Must      |
|  59 | 🟠 Authentication    | Current user                  | Getting authenticated user through dependencies                 | 🔴 Must      |
|  60 | 🟠 Authentication    | Refresh tokens                | Long-lived authentication strategy                              | 🟠 Important |
|  61 | 🟠 Authorization     | Roles                         | Admin/user/moderator permissions                                | 🔴 Must      |
|  62 | 🟠 Authorization     | Permissions                   | Fine-grained access control                                     | 🟠 Important |
|  63 | 🟠 Security          | CORS                          | Cross-origin requests                                           | 🔴 Must      |
|  64 | 🟠 Security          | Trusted hosts                 | Host-header protection                                          | 🟠 Important |
|  65 | 🟠 Security          | HTTPS                         | TLS and secure API communication                                | 🔴 Must      |
|  66 | 🟠 Security          | Security headers              | Common HTTP security protections                                | 🟠 Important |
|  67 | 🟠 Security          | Rate limiting                 | Protecting APIs from abuse                                      | 🟠 Important |
|  68 | 🟠 Security          | Input validation              | Preventing malicious/invalid input                              | 🔴 Must      |
|  69 | 🟠 Security          | SQL injection                 | Safe database querying                                          | 🔴 Must      |
|  70 | 🟠 Security          | Secrets management            | API keys, passwords, tokens                                     | 🔴 Must      |
|  71 | 🔵 Advanced FastAPI  | Middleware                    | Understanding middleware                                        | 🔴 Must      |
|  72 | 🔵 Advanced FastAPI  | Custom middleware             | Request/response processing                                     | 🔴 Must      |
